match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8143703690,100,v1_15min,True,420,16.6.756.931,1382,2026-05-14T19:59:29+00:00,-270,-6,1,-1,0,8,-0.4,1,1,-7,2
KR_8143703690,200,v1_15min,False,420,16.6.756.931,1382,2026-05-14T19:59:29+00:00,270,6,-1,1,0,-8,0.4,-1,-1,7,-2
KR_8143357958,100,v1_15min,False,420,16.6.756.931,2232,2026-05-14T19:59:29+00:00,2064,3,0,-2,0,9,0.2,-1,-1,1,-2
KR_8143357958,200,v1_15min,False,420,16.6.756.931,2232,2026-05-14T19:59:29+00:00,-2064,-3,0,2,0,-9,-0.2,1,1,-1,2
KR_8143287893,100,v1_15min,False,420,16.6.756.931,1473,2026-05-14T19:59:29+00:00,-4374,-9,0,-2,0,-74,-0.6,-1,0,1,-6
KR_8143287893,200,v1_15min,False,420,16.6.756.931,1473,2026-05-14T19:59:29+00:00,4374,9,0,2,0,74,0.6,1,0,-1,6
KR_8143208777,100,v1_15min,False,420,16.6.756.931,1874,2026-05-14T19:59:29+00:00,4639,8,1,-1,0,34,0.4,1,1,2,-2
KR_8143208777,200,v1_15min,False,420,16.6.756.931,1874,2026-05-14T19:59:29+00:00,-4639,-8,-1,1,0,-34,-0.4,-1,-1,-2,2
KR_8143138138,100,v1_15min,False,420,16.6.756.931,1732,2026-05-14T19:59:29+00:00,466,0,0,-2,0,-47,0.2,-1,0,5,-4
KR_8143138138,200,v1_15min,False,420,16.6.756.931,1732,2026-05-14T19:59:29+00:00,-466,0,0,2,0,47,-0.2,1,0,-5,4
KR_8143066831,100,v1_15min,False,420,16.6.756.931,1369,2026-05-14T19:59:29+00:00,4996,6,2,1,0,82,0.8,1,1,7,-10
KR_8143066831,200,v1_15min,False,420,16.6.756.931,1369,2026-05-14T19:59:29+00:00,-4996,-6,-2,-1,0,-82,-0.8,-1,-1,-7,10
KR_8132214182,100,v1_15min,False,420,16.5.752.7101,1457,2026-05-14T19:59:29+00:00,-6922,-12,-3,-1,0,-62,-0.8,-1,-1,2,-2
KR_8132214182,200,v1_15min,False,420,16.5.752.7101,1457,2026-05-14T19:59:29+00:00,6922,12,3,1,0,62,0.8,1,1,-2,2
KR_8048995832,100,v1_15min,False,420,16.2.740.1491,1730,2026-05-14T19:59:29+00:00,-3562,-14,0,0,0,-15,-0.8,-1,-1,9,3
KR_8048995832,200,v1_15min,False,420,16.2.740.1491,1730,2026-05-14T19:59:29+00:00,3562,14,0,0,0,15,0.8,1,1,-9,-3
KR_8048920498,100,v1_15min,False,420,16.2.740.1491,2036,2026-05-14T19:59:29+00:00,-3783,-13,0,-1,0,-38,-0.6,1,0,7,-2
KR_8048920498,200,v1_15min,False,420,16.2.740.1491,2036,2026-05-14T19:59:29+00:00,3783,13,0,1,0,38,0.6,-1,0,-7,2
KR_8048655817,100,v1_15min,False,420,16.2.740.1491,1310,2026-05-14T19:59:29+00:00,5332,4,3,-2,0,87,0.8,1,1,1,0
KR_8048655817,200,v1_15min,True,420,16.2.740.1491,1310,2026-05-14T19:59:29+00:00,-5332,-4,-3,2,0,-87,-0.8,-1,-1,-1,0
KR_8043360854,100,v1_15min,False,420,16.2.738.9684,1899,2026-05-14T19:59:29+00:00,3209,6,0,0,0,77,0.6,1,1,-3,3
KR_8043360854,200,v1_15min,True,420,16.2.738.9684,1899,2026-05-14T19:59:29+00:00,-3209,-6,0,0,0,-77,-0.6,-1,-1,3,-3
KR_8042642901,100,v1_15min,False,420,16.2.738.9684,2459,2026-05-14T19:59:29+00:00,-190,1,0,-1,0,-22,-0.6,1,0,3,-8
KR_8042642901,200,v1_15min,True,420,16.2.738.9684,2459,2026-05-14T19:59:29+00:00,190,-1,0,1,0,22,0.6,-1,0,-3,8
KR_8042610535,100,v1_15min,False,420,16.2.738.9684,1694,2026-05-14T19:59:29+00:00,621,-1,-1,1,0,50,0.0,1,-1,4,-2
KR_8042610535,200,v1_15min,False,420,16.2.738.9684,1694,2026-05-14T19:59:29+00:00,-621,1,1,-1,0,-50,0.0,-1,1,-4,2
KR_8042586778,100,v1_15min,False,420,16.2.738.9684,924,2026-05-14T19:59:29+00:00,7903,13,3,0,0,58,1.4,1,1,-1,0
KR_8042586778,200,v1_15min,True,420,16.2.738.9684,924,2026-05-14T19:59:29+00:00,-7903,-13,-3,0,0,-58,-1.4,-1,-1,1,0
KR_8042000757,100,v1_15min,False,420,16.1.737.4870,1937,2026-05-14T19:59:29+00:00,3091,4,0,0,0,4,0.4,1,1,9,0
KR_8042000757,200,v1_15min,True,420,16.1.737.4870,1937,2026-05-14T19:59:29+00:00,-3091,-4,0,0,0,-4,-0.4,-1,-1,-9,0
KR_8040813009,100,v1_15min,False,420,16.1.737.4870,2684,2026-05-14T19:59:29+00:00,2527,7,-1,2,0,5,0.4,1,-1,-4,4
KR_8040813009,200,v1_15min,False,420,16.1.737.4870,2684,2026-05-14T19:59:29+00:00,-2527,-7,1,-2,0,-5,-0.4,-1,1,4,-4
KR_8040756526,100,v1_15min,False,420,16.1.737.4870,1989,2026-05-14T19:59:29+00:00,-3940,-4,0,-2,0,-48,-0.2,-1,0,-7,0
