source,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,win_rate_counter,1,Seraphine,seraphine,57.73,1443,
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,win_rate_counter,2,Yasuo,yasuo,57.41,1188,
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,win_rate_counter,3,Senna,senna,55.38,8039,
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,win_rate_counter,4,Brand,brand,55.32,3550,
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,win_rate_counter,5,Nilah,nilah,54.69,1108,
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,gd15_counter,1,Draven,draven,,4847,719
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,gd15_counter,2,Mel,mel,,1565,394
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,gd15_counter,3,Samira,samira,,4864,273
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,gd15_counter,4,Kalista,kalista,,1694,252
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,,gd15_counter,5,Yasuo,yasuo,,1188,240
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,,win_rate_counter,1,Ivern,ivern,54.01,1009,
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,,win_rate_counter,2,Warwick,warwick,53.91,2684,
