source,source_url,collected_at,target_champion_name,target_champion_slug,position,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,1,Seraphine,seraphine,57.73,1443
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,2,Yasuo,yasuo,57.41,1188
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,3,Senna,senna,55.38,8039
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,4,Brand,brand,55.32,3550
u.gg,https://u.gg/lol/champions/ezreal/counter,2026-06-06T10:25:45.470529+00:00,Ezreal,ezreal,BOTTOM,5,Nilah,nilah,54.69,1108
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,1,Ivern,ivern,54.01,1009
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,2,Warwick,warwick,53.91,2684
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,3,RekSai,reksai,53.53,3202
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,4,Naafiri,naafiri,52.72,6396
u.gg,https://u.gg/lol/champions/leesin/counter,2026-06-06T10:25:48.075326+00:00,LeeSin,leesin,JUNGLE,5,Briar,briar,52.55,3920
u.gg,https://u.gg/lol/champions/kaisa/counter,2026-06-06T10:25:50.981942+00:00,Kaisa,kaisa,BOTTOM,1,Nilah,nilah,55.86,999
u.gg,https://u.gg/lol/champions/kaisa/counter,2026-06-06T10:25:50.981942+00:00,Kaisa,kaisa,BOTTOM,2,Swain,swain,55.12,1094
u.gg,https://u.gg/lol/champions/kaisa/counter,2026-06-06T10:25:50.981942+00:00,Kaisa,kaisa,BOTTOM,3,Senna,senna,54.84,4741
u.gg,https://u.gg/lol/champions/kaisa/counter,2026-06-06T10:25:50.981942+00:00,Kaisa,kaisa,BOTTOM,4,Jinx,jinx,54.56,10034
