patch,champion_id,champion_name,position,game_length_bucket,bucket_min_sec,bucket_max_sec,feature_version,games,wins,win_rate,created_at
16.9,1,Annie,MIDDLE,15-20,900,1200,v2_timeseries_7_15_16_9_only,7,2,28.5714,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,MIDDLE,20-25,1200,1500,v2_timeseries_7_15_16_9_only,19,4,21.0526,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,MIDDLE,25-30,1500,1800,v2_timeseries_7_15_16_9_only,31,17,54.8387,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,MIDDLE,30-35,1800,2100,v2_timeseries_7_15_16_9_only,17,10,58.8235,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,MIDDLE,35-40,2100,2400,v2_timeseries_7_15_16_9_only,6,5,83.3333,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,MIDDLE,40+,2400,,v2_timeseries_7_15_16_9_only,2,2,100.0,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,TOP,20-25,1200,1500,v2_timeseries_7_15_16_9_only,1,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,UTILITY,15-20,900,1200,v2_timeseries_7_15_16_9_only,3,1,33.3333,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,UTILITY,25-30,1500,1800,v2_timeseries_7_15_16_9_only,2,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,1,Annie,UTILITY,30-35,1800,2100,v2_timeseries_7_15_16_9_only,3,3,100.0,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,MIDDLE,15-20,900,1200,v2_timeseries_7_15_16_9_only,1,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,MIDDLE,20-25,1200,1500,v2_timeseries_7_15_16_9_only,3,2,66.6667,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,MIDDLE,25-30,1500,1800,v2_timeseries_7_15_16_9_only,1,1,100.0,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,MIDDLE,30-35,1800,2100,v2_timeseries_7_15_16_9_only,2,1,50.0,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,MIDDLE,35-40,2100,2400,v2_timeseries_7_15_16_9_only,1,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,TOP,15-20,900,1200,v2_timeseries_7_15_16_9_only,7,1,14.2857,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,TOP,20-25,1200,1500,v2_timeseries_7_15_16_9_only,6,4,66.6667,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,TOP,25-30,1500,1800,v2_timeseries_7_15_16_9_only,9,6,66.6667,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,TOP,30-35,1800,2100,v2_timeseries_7_15_16_9_only,7,6,85.7143,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,TOP,35-40,2100,2400,v2_timeseries_7_15_16_9_only,1,1,100.0,2026-06-07T21:18:04.069453+00:00
16.9,10,Kayle,TOP,40+,2400,,v2_timeseries_7_15_16_9_only,1,1,100.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,BOTTOM,15-20,900,1200,v2_timeseries_7_15_16_9_only,1,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,BOTTOM,20-25,1200,1500,v2_timeseries_7_15_16_9_only,4,2,50.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,BOTTOM,25-30,1500,1800,v2_timeseries_7_15_16_9_only,4,2,50.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,BOTTOM,30-35,1800,2100,v2_timeseries_7_15_16_9_only,6,2,33.3333,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,BOTTOM,35-40,2100,2400,v2_timeseries_7_15_16_9_only,1,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,BOTTOM,40+,2400,,v2_timeseries_7_15_16_9_only,1,0,0.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,MIDDLE,15-20,900,1200,v2_timeseries_7_15_16_9_only,22,9,40.9091,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,MIDDLE,20-25,1200,1500,v2_timeseries_7_15_16_9_only,21,8,38.0952,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,MIDDLE,25-30,1500,1800,v2_timeseries_7_15_16_9_only,47,19,40.4255,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,MIDDLE,30-35,1800,2100,v2_timeseries_7_15_16_9_only,44,26,59.0909,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,MIDDLE,35-40,2100,2400,v2_timeseries_7_15_16_9_only,21,9,42.8571,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,MIDDLE,40+,2400,,v2_timeseries_7_15_16_9_only,3,1,33.3333,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,UTILITY,15-20,900,1200,v2_timeseries_7_15_16_9_only,11,3,27.2727,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,UTILITY,20-25,1200,1500,v2_timeseries_7_15_16_9_only,14,11,78.5714,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,UTILITY,25-30,1500,1800,v2_timeseries_7_15_16_9_only,46,23,50.0,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,UTILITY,30-35,1800,2100,v2_timeseries_7_15_16_9_only,28,10,35.7143,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,UTILITY,35-40,2100,2400,v2_timeseries_7_15_16_9_only,13,4,30.7692,2026-06-07T21:18:04.069453+00:00
16.9,101,Xerath,UTILITY,40+,2400,,v2_timeseries_7_15_16_9_only,6,3,50.0,2026-06-07T21:18:04.069453+00:00
16.9,102,Shyvana,JUNGLE,15-20,900,1200,v2_timeseries_7_15_16_9_only,4,1,25.0,2026-06-07T21:18:04.069453+00:00
16.9,102,Shyvana,JUNGLE,20-25,1200,1500,v2_timeseries_7_15_16_9_only,8,2,25.0,2026-06-07T21:18:04.069453+00:00
16.9,102,Shyvana,JUNGLE,25-30,1500,1800,v2_timeseries_7_15_16_9_only,12,6,50.0,2026-06-07T21:18:04.069453+00:00
16.9,102,Shyvana,JUNGLE,30-35,1800,2100,v2_timeseries_7_15_16_9_only,13,7,53.8462,2026-06-07T21:18:04.069453+00:00
16.9,102,Shyvana,JUNGLE,35-40,2100,2400,v2_timeseries_7_15_16_9_only,2,1,50.0,2026-06-07T21:18:04.069453+00:00
16.9,102,Shyvana,JUNGLE,40+,2400,,v2_timeseries_7_15_16_9_only,2,0,0.0,2026-06-07T21:18:04.069453+00:00
