match_id,participant_id,team_id,position,feature_version,champion_id,champion_name,individual_position,lane,role,team_surrendered,win,queue_id,game_version,game_duration_sec,collected_at
KR_8143703690,1,100,TOP,v2_timeseries_7_15,19,Warwick,TOP,JUNGLE,NONE,True,False,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,2,100,JUNGLE,v2_timeseries_7_15,76,Nidalee,JUNGLE,JUNGLE,NONE,True,False,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,3,100,MIDDLE,v2_timeseries_7_15,14,Sion,MIDDLE,MIDDLE,SOLO,True,False,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,4,100,BOTTOM,v2_timeseries_7_15,236,Lucian,BOTTOM,BOTTOM,CARRY,True,False,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,5,100,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,True,False,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,6,200,TOP,v2_timeseries_7_15,157,Yasuo,TOP,JUNGLE,NONE,False,True,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,7,200,JUNGLE,v2_timeseries_7_15,62,MonkeyKing,JUNGLE,JUNGLE,NONE,False,True,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,8,200,MIDDLE,v2_timeseries_7_15,1,Annie,MIDDLE,MIDDLE,SOLO,False,True,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,9,200,BOTTOM,v2_timeseries_7_15,22,Ashe,BOTTOM,BOTTOM,CARRY,False,True,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143703690,10,200,UTILITY,v2_timeseries_7_15,147,Seraphine,UTILITY,BOTTOM,SUPPORT,False,True,420,16.6.756.931,1382,2026-06-05T14:02:39+00:00
KR_8143357958,1,100,TOP,v2_timeseries_7_15,41,Gangplank,TOP,TOP,CARRY,False,False,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,2,100,JUNGLE,v2_timeseries_7_15,266,Aatrox,JUNGLE,JUNGLE,NONE,False,False,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,3,100,MIDDLE,v2_timeseries_7_15,7,Leblanc,MIDDLE,MIDDLE,SOLO,False,False,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,4,100,BOTTOM,v2_timeseries_7_15,145,Kaisa,BOTTOM,BOTTOM,SOLO,False,False,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,5,100,UTILITY,v2_timeseries_7_15,555,Pyke,UTILITY,TOP,SUPPORT,False,False,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,6,200,TOP,v2_timeseries_7_15,23,Tryndamere,TOP,TOP,DUO,False,True,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,7,200,JUNGLE,v2_timeseries_7_15,104,Graves,JUNGLE,JUNGLE,NONE,False,True,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,8,200,MIDDLE,v2_timeseries_7_15,90,Malzahar,MIDDLE,MIDDLE,SOLO,False,True,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,9,200,BOTTOM,v2_timeseries_7_15,81,Ezreal,BOTTOM,TOP,DUO,False,True,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143357958,10,200,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SOLO,False,True,420,16.6.756.931,2232,2026-06-05T14:02:39+00:00
KR_8143287893,1,100,TOP,v2_timeseries_7_15,54,Malphite,TOP,JUNGLE,NONE,False,False,420,16.6.756.931,1473,2026-06-05T14:02:39+00:00
KR_8143287893,2,100,JUNGLE,v2_timeseries_7_15,517,Sylas,JUNGLE,JUNGLE,NONE,False,False,420,16.6.756.931,1473,2026-06-05T14:02:39+00:00
KR_8143287893,3,100,MIDDLE,v2_timeseries_7_15,950,Naafiri,MIDDLE,MIDDLE,SOLO,False,False,420,16.6.756.931,1473,2026-06-05T14:02:39+00:00
KR_8143287893,4,100,BOTTOM,v2_timeseries_7_15,236,Lucian,BOTTOM,BOTTOM,CARRY,False,False,420,16.6.756.931,1473,2026-06-05T14:02:39+00:00
KR_8143287893,5,100,UTILITY,v2_timeseries_7_15,16,Soraka,UTILITY,BOTTOM,SUPPORT,False,False,420,16.6.756.931,1473,2026-06-05T14:02:39+00:00
