source,source_patch,source_url,collected_at,target_champion_name,target_champion_slug,position,page_role_hint,section,counter_rank,counter_champion_name,counter_champion_slug,win_rate,games,gd15,target_win_rate,target_delta,target_delta_normalized,target_pick_rate,min_counter_games_used
lolalytics,16.9,https://lolalytics.com/lol/aatrox/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aatrox,aatrox,TOP,top,win_rate_counter,1,Singed,singed,54.95,2426,,45.05,-1.76,-3.1,1.51,805
lolalytics,16.9,https://lolalytics.com/lol/aatrox/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aatrox,aatrox,TOP,top,win_rate_counter,2,Irelia,irelia,53.14,4166,,46.86,-1.71,-3.05,2.59,805
lolalytics,16.9,https://lolalytics.com/lol/aatrox/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aatrox,aatrox,TOP,top,win_rate_counter,3,Fiora,fiora,52.89,4029,,47.11,-2.12,-3.46,2.5,805
lolalytics,16.9,https://lolalytics.com/lol/aatrox/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aatrox,aatrox,TOP,top,win_rate_counter,4,Warwick,warwick,52.56,1170,,47.44,0.53,-0.81,0.73,805
lolalytics,16.9,https://lolalytics.com/lol/aatrox/build/?lane=top&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Aatrox,aatrox,TOP,top,win_rate_counter,5,Gwen,gwen,52.55,1823,,47.45,-0.92,-2.26,1.13,805
lolalytics,16.9,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ahri,ahri,MIDDLE,middle,win_rate_counter,1,Zed,zed,51.79,13559,,48.21,1.03,-1.57,4.97,1364
lolalytics,16.9,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ahri,ahri,MIDDLE,middle,win_rate_counter,2,Akshan,akshan,51.52,4313,,48.48,-0.42,-3.02,1.58,1364
lolalytics,16.9,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ahri,ahri,MIDDLE,middle,win_rate_counter,3,Xerath,xerath,51.03,8696,,48.97,2.04,-0.56,3.19,1364
lolalytics,16.9,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ahri,ahri,MIDDLE,middle,win_rate_counter,4,Qiyana,qiyana,50.45,3647,,49.55,1.03,-1.57,1.34,1364
lolalytics,16.9,https://lolalytics.com/lol/ahri/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Ahri,ahri,MIDDLE,middle,win_rate_counter,5,Annie,annie,50.43,5590,,49.57,1.86,-0.74,2.05,1364
lolalytics,16.9,https://lolalytics.com/lol/akali/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akali,akali,MIDDLE,middle,win_rate_counter,1,TwistedFate,twistedfate,54.23,4745,,45.77,-2.87,-4.23,2.75,863
lolalytics,16.9,https://lolalytics.com/lol/akali/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akali,akali,MIDDLE,middle,win_rate_counter,2,Lissandra,lissandra,53.76,5119,,46.24,-1.92,-3.28,2.97,863
lolalytics,16.9,https://lolalytics.com/lol/akali/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akali,akali,MIDDLE,middle,win_rate_counter,3,Vex,vex,53.17,2748,,46.83,-0.67,-2.03,1.59,863
lolalytics,16.9,https://lolalytics.com/lol/akali/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akali,akali,MIDDLE,middle,win_rate_counter,4,Swain,swain,52.91,1013,,47.09,-1.32,-2.68,0.59,863
lolalytics,16.9,https://lolalytics.com/lol/akali/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akali,akali,MIDDLE,middle,win_rate_counter,5,Taliyah,taliyah,52.14,1352,,47.86,-1.74,-3.1,0.78,863
lolalytics,16.9,https://lolalytics.com/lol/akshan/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akshan,akshan,MIDDLE,middle,win_rate_counter,1,TwistedFate,twistedfate,53.23,1860,,46.77,-1.87,-3.88,2.45,379
lolalytics,16.9,https://lolalytics.com/lol/akshan/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akshan,akshan,MIDDLE,middle,win_rate_counter,2,Annie,annie,53.11,1674,,46.89,-0.82,-2.83,2.21,379
lolalytics,16.9,https://lolalytics.com/lol/akshan/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akshan,akshan,MIDDLE,middle,win_rate_counter,3,Naafiri,naafiri,52.59,1371,,47.41,1.45,-0.55,1.81,379
lolalytics,16.9,https://lolalytics.com/lol/akshan/build/?lane=middle&tier=emerald_plus&patch=16.9&region=all,2026-06-08T02:56:35.530707+00:00,Akshan,akshan,MIDDLE,middle,win_rate_counter,4,Anivia,anivia,52.53,1363,,47.47,-0.73,-2.74,1.8,379
