champion_id,champion_name,position,feature_version,pick_count,win_count,surrender_loss_count,position_share,is_primary_position,created_at
266,Aatrox,JUNGLE,v2_timeseries_7_15_16_9_only,6,5,0,0.034483,False,2026-06-07T21:17:37+00:00
266,Aatrox,MIDDLE,v2_timeseries_7_15_16_9_only,5,1,1,0.028736,False,2026-06-07T21:17:37+00:00
266,Aatrox,TOP,v2_timeseries_7_15_16_9_only,160,87,24,0.91954,True,2026-06-07T21:17:37+00:00
266,Aatrox,UTILITY,v2_timeseries_7_15_16_9_only,3,0,2,0.017241,False,2026-06-07T21:17:37+00:00
103,Ahri,MIDDLE,v2_timeseries_7_15_16_9_only,288,145,49,0.986301,True,2026-06-07T21:17:37+00:00
103,Ahri,TOP,v2_timeseries_7_15_16_9_only,1,0,1,0.003425,False,2026-06-07T21:17:37+00:00
103,Ahri,UTILITY,v2_timeseries_7_15_16_9_only,3,1,0,0.010274,False,2026-06-07T21:17:37+00:00
84,Akali,MIDDLE,v2_timeseries_7_15_16_9_only,232,126,33,0.694611,True,2026-06-07T21:17:37+00:00
84,Akali,TOP,v2_timeseries_7_15_16_9_only,102,45,19,0.305389,False,2026-06-07T21:17:37+00:00
166,Akshan,BOTTOM,v2_timeseries_7_15_16_9_only,1,1,0,0.020408,False,2026-06-07T21:17:37+00:00
166,Akshan,MIDDLE,v2_timeseries_7_15_16_9_only,44,19,11,0.897959,True,2026-06-07T21:17:37+00:00
166,Akshan,TOP,v2_timeseries_7_15_16_9_only,3,2,0,0.061224,False,2026-06-07T21:17:37+00:00
166,Akshan,UTILITY,v2_timeseries_7_15_16_9_only,1,0,0,0.020408,False,2026-06-07T21:17:37+00:00
12,Alistar,UTILITY,v2_timeseries_7_15_16_9_only,96,57,10,1.0,True,2026-06-07T21:17:37+00:00
799,Ambessa,JUNGLE,v2_timeseries_7_15_16_9_only,84,27,22,0.435233,False,2026-06-07T21:17:37+00:00
799,Ambessa,MIDDLE,v2_timeseries_7_15_16_9_only,9,4,3,0.046632,False,2026-06-07T21:17:37+00:00
799,Ambessa,TOP,v2_timeseries_7_15_16_9_only,98,49,14,0.507772,True,2026-06-07T21:17:37+00:00
799,Ambessa,UTILITY,v2_timeseries_7_15_16_9_only,2,0,2,0.010363,False,2026-06-07T21:17:37+00:00
32,Amumu,JUNGLE,v2_timeseries_7_15_16_9_only,19,5,5,0.513514,True,2026-06-07T21:17:37+00:00
32,Amumu,TOP,v2_timeseries_7_15_16_9_only,1,1,0,0.027027,False,2026-06-07T21:17:37+00:00
32,Amumu,UTILITY,v2_timeseries_7_15_16_9_only,17,14,1,0.459459,False,2026-06-07T21:17:37+00:00
34,Anivia,MIDDLE,v2_timeseries_7_15_16_9_only,128,60,24,0.649746,True,2026-06-07T21:17:37+00:00
34,Anivia,TOP,v2_timeseries_7_15_16_9_only,41,17,6,0.208122,False,2026-06-07T21:17:37+00:00
34,Anivia,UTILITY,v2_timeseries_7_15_16_9_only,28,14,6,0.142132,False,2026-06-07T21:17:37+00:00
1,Annie,MIDDLE,v2_timeseries_7_15_16_9_only,82,40,14,0.901099,True,2026-06-07T21:17:37+00:00
1,Annie,TOP,v2_timeseries_7_15_16_9_only,1,0,1,0.010989,False,2026-06-07T21:17:37+00:00
1,Annie,UTILITY,v2_timeseries_7_15_16_9_only,8,4,3,0.087912,False,2026-06-07T21:17:37+00:00
523,Aphelios,BOTTOM,v2_timeseries_7_15_16_9_only,116,57,17,0.983051,True,2026-06-07T21:17:37+00:00
523,Aphelios,MIDDLE,v2_timeseries_7_15_16_9_only,2,1,1,0.016949,False,2026-06-07T21:17:37+00:00
22,Ashe,BOTTOM,v2_timeseries_7_15_16_9_only,485,255,91,0.968064,True,2026-06-07T21:17:37+00:00
22,Ashe,MIDDLE,v2_timeseries_7_15_16_9_only,1,0,0,0.001996,False,2026-06-07T21:17:37+00:00
22,Ashe,TOP,v2_timeseries_7_15_16_9_only,3,3,0,0.005988,False,2026-06-07T21:17:37+00:00
22,Ashe,UTILITY,v2_timeseries_7_15_16_9_only,12,7,1,0.023952,False,2026-06-07T21:17:37+00:00
136,AurelionSol,BOTTOM,v2_timeseries_7_15_16_9_only,4,3,0,0.090909,False,2026-06-07T21:17:37+00:00
136,AurelionSol,MIDDLE,v2_timeseries_7_15_16_9_only,38,19,9,0.863636,True,2026-06-07T21:17:37+00:00
136,AurelionSol,TOP,v2_timeseries_7_15_16_9_only,1,0,0,0.022727,False,2026-06-07T21:17:37+00:00
136,AurelionSol,UTILITY,v2_timeseries_7_15_16_9_only,1,0,0,0.022727,False,2026-06-07T21:17:37+00:00
893,Aurora,MIDDLE,v2_timeseries_7_15_16_9_only,100,46,20,0.746269,True,2026-06-07T21:17:37+00:00
893,Aurora,TOP,v2_timeseries_7_15_16_9_only,32,18,3,0.238806,False,2026-06-07T21:17:37+00:00
893,Aurora,UTILITY,v2_timeseries_7_15_16_9_only,2,0,1,0.014925,False,2026-06-07T21:17:37+00:00
268,Azir,MIDDLE,v2_timeseries_7_15_16_9_only,73,36,9,0.935897,True,2026-06-07T21:17:37+00:00
268,Azir,TOP,v2_timeseries_7_15_16_9_only,3,1,1,0.038462,False,2026-06-07T21:17:37+00:00
268,Azir,UTILITY,v2_timeseries_7_15_16_9_only,2,0,1,0.025641,False,2026-06-07T21:17:37+00:00
432,Bard,UTILITY,v2_timeseries_7_15_16_9_only,193,105,38,1.0,True,2026-06-07T21:17:37+00:00
200,Belveth,JUNGLE,v2_timeseries_7_15_16_9_only,28,16,5,0.848485,True,2026-06-07T21:17:37+00:00
200,Belveth,TOP,v2_timeseries_7_15_16_9_only,5,4,0,0.151515,False,2026-06-07T21:17:37+00:00
53,Blitzcrank,UTILITY,v2_timeseries_7_15_16_9_only,210,103,35,1.0,True,2026-06-07T21:17:37+00:00
63,Brand,BOTTOM,v2_timeseries_7_15_16_9_only,14,6,4,0.10219,False,2026-06-07T21:17:37+00:00
63,Brand,JUNGLE,v2_timeseries_7_15_16_9_only,12,2,2,0.087591,False,2026-06-07T21:17:37+00:00
63,Brand,MIDDLE,v2_timeseries_7_15_16_9_only,37,20,4,0.270073,False,2026-06-07T21:17:37+00:00
63,Brand,TOP,v2_timeseries_7_15_16_9_only,20,11,5,0.145985,False,2026-06-07T21:17:37+00:00
63,Brand,UTILITY,v2_timeseries_7_15_16_9_only,54,30,5,0.394161,True,2026-06-07T21:17:37+00:00
201,Braum,UTILITY,v2_timeseries_7_15_16_9_only,177,100,30,1.0,True,2026-06-07T21:17:37+00:00
233,Briar,JUNGLE,v2_timeseries_7_15_16_9_only,166,80,32,0.927374,True,2026-06-07T21:17:37+00:00
233,Briar,MIDDLE,v2_timeseries_7_15_16_9_only,6,1,4,0.03352,False,2026-06-07T21:17:37+00:00
233,Briar,TOP,v2_timeseries_7_15_16_9_only,7,6,0,0.039106,False,2026-06-07T21:17:37+00:00
51,Caitlyn,BOTTOM,v2_timeseries_7_15_16_9_only,315,159,48,0.975232,True,2026-06-07T21:17:37+00:00
51,Caitlyn,MIDDLE,v2_timeseries_7_15_16_9_only,2,0,0,0.006192,False,2026-06-07T21:17:37+00:00
51,Caitlyn,TOP,v2_timeseries_7_15_16_9_only,2,2,0,0.006192,False,2026-06-07T21:17:37+00:00
51,Caitlyn,UTILITY,v2_timeseries_7_15_16_9_only,4,2,0,0.012384,False,2026-06-07T21:17:37+00:00
164,Camille,JUNGLE,v2_timeseries_7_15_16_9_only,2,0,0,0.022989,False,2026-06-07T21:17:37+00:00
164,Camille,MIDDLE,v2_timeseries_7_15_16_9_only,2,1,0,0.022989,False,2026-06-07T21:17:37+00:00
164,Camille,TOP,v2_timeseries_7_15_16_9_only,58,25,8,0.666667,True,2026-06-07T21:17:37+00:00
164,Camille,UTILITY,v2_timeseries_7_15_16_9_only,25,13,5,0.287356,False,2026-06-07T21:17:37+00:00
69,Cassiopeia,BOTTOM,v2_timeseries_7_15_16_9_only,12,9,1,0.222222,False,2026-06-07T21:17:37+00:00
69,Cassiopeia,JUNGLE,v2_timeseries_7_15_16_9_only,1,0,0,0.018519,False,2026-06-07T21:17:37+00:00
69,Cassiopeia,MIDDLE,v2_timeseries_7_15_16_9_only,22,10,1,0.407407,True,2026-06-07T21:17:37+00:00
69,Cassiopeia,TOP,v2_timeseries_7_15_16_9_only,18,8,2,0.333333,False,2026-06-07T21:17:37+00:00
69,Cassiopeia,UTILITY,v2_timeseries_7_15_16_9_only,1,0,0,0.018519,False,2026-06-07T21:17:37+00:00
31,Chogath,JUNGLE,v2_timeseries_7_15_16_9_only,2,1,0,0.055556,False,2026-06-07T21:17:37+00:00
31,Chogath,MIDDLE,v2_timeseries_7_15_16_9_only,8,3,3,0.222222,False,2026-06-07T21:17:37+00:00
31,Chogath,TOP,v2_timeseries_7_15_16_9_only,20,16,2,0.555556,True,2026-06-07T21:17:37+00:00
31,Chogath,UTILITY,v2_timeseries_7_15_16_9_only,6,3,0,0.166667,False,2026-06-07T21:17:37+00:00
42,Corki,BOTTOM,v2_timeseries_7_15_16_9_only,34,12,4,0.85,True,2026-06-07T21:17:37+00:00
42,Corki,MIDDLE,v2_timeseries_7_15_16_9_only,3,2,0,0.075,False,2026-06-07T21:17:37+00:00
42,Corki,UTILITY,v2_timeseries_7_15_16_9_only,3,1,0,0.075,False,2026-06-07T21:17:37+00:00
122,Darius,JUNGLE,v2_timeseries_7_15_16_9_only,6,3,0,0.05,False,2026-06-07T21:17:37+00:00
122,Darius,TOP,v2_timeseries_7_15_16_9_only,114,53,17,0.95,True,2026-06-07T21:17:37+00:00
131,Diana,JUNGLE,v2_timeseries_7_15_16_9_only,51,31,6,0.432203,False,2026-06-07T21:17:37+00:00
131,Diana,MIDDLE,v2_timeseries_7_15_16_9_only,60,31,12,0.508475,True,2026-06-07T21:17:37+00:00
131,Diana,TOP,v2_timeseries_7_15_16_9_only,7,5,1,0.059322,False,2026-06-07T21:17:37+00:00
36,DrMundo,JUNGLE,v2_timeseries_7_15_16_9_only,16,5,1,0.25,False,2026-06-07T21:17:37+00:00
36,DrMundo,MIDDLE,v2_timeseries_7_15_16_9_only,1,0,0,0.015625,False,2026-06-07T21:17:37+00:00
36,DrMundo,TOP,v2_timeseries_7_15_16_9_only,45,22,12,0.703125,True,2026-06-07T21:17:37+00:00
36,DrMundo,UTILITY,v2_timeseries_7_15_16_9_only,2,1,0,0.03125,False,2026-06-07T21:17:37+00:00
119,Draven,BOTTOM,v2_timeseries_7_15_16_9_only,55,25,14,0.916667,True,2026-06-07T21:17:37+00:00
119,Draven,MIDDLE,v2_timeseries_7_15_16_9_only,5,3,0,0.083333,False,2026-06-07T21:17:37+00:00
245,Ekko,JUNGLE,v2_timeseries_7_15_16_9_only,70,41,8,0.555556,True,2026-06-07T21:17:37+00:00
245,Ekko,MIDDLE,v2_timeseries_7_15_16_9_only,54,28,9,0.428571,False,2026-06-07T21:17:37+00:00
245,Ekko,TOP,v2_timeseries_7_15_16_9_only,2,1,0,0.015873,False,2026-06-07T21:17:37+00:00
60,Elise,JUNGLE,v2_timeseries_7_15_16_9_only,69,34,10,0.75,True,2026-06-07T21:17:37+00:00
60,Elise,TOP,v2_timeseries_7_15_16_9_only,1,1,0,0.01087,False,2026-06-07T21:17:37+00:00
