match_id,team_id,feature_version,team_surrendered,queue_id,game_version,game_duration_sec,collected_at,gold_diff_15,kill_diff_15,tower_diff_15,dragon_diff_15,rift_herald_diff_15,cs_diff_15,avg_level_diff_15,first_blood,first_tower,ward_placed_diff_15,ward_kill_diff_15
KR_8206876230,100,v1_15min_16_9_only,False,420,16.9.772.8292,1407,2026-06-07T21:17:16+00:00,-256,4,0,-1,0,7,0.2,-1,0,3,-5
KR_8206876230,200,v1_15min_16_9_only,False,420,16.9.772.8292,1407,2026-06-07T21:17:16+00:00,256,-4,0,1,0,-7,-0.2,1,0,-3,5
KR_8206872044,100,v1_15min_16_9_only,True,420,16.9.772.8292,915,2026-06-07T21:17:16+00:00,-8760,-17,-3,-2,0,-86,-1.0,1,-1,-10,3
KR_8206872044,200,v1_15min_16_9_only,False,420,16.9.772.8292,915,2026-06-07T21:17:16+00:00,8760,17,3,2,0,86,1.0,-1,1,10,-3
KR_8206673625,100,v1_15min_16_9_only,True,420,16.9.772.8292,1254,2026-06-07T21:17:16+00:00,-4510,-7,-1,-1,0,-77,-1.2,1,-1,-1,-7
KR_8206673625,200,v1_15min_16_9_only,False,420,16.9.772.8292,1254,2026-06-07T21:17:16+00:00,4510,7,1,1,0,77,1.2,-1,1,1,7
KR_8213689848,100,v1_15min_16_9_only,False,420,16.9.772.8292,1537,2026-06-07T21:17:16+00:00,-8013,-16,-3,0,0,-39,-1.4,1,-1,5,-2
KR_8213689848,200,v1_15min_16_9_only,False,420,16.9.772.8292,1537,2026-06-07T21:17:16+00:00,8013,16,3,0,0,39,1.4,-1,1,-5,2
KR_8213606983,100,v1_15min_16_9_only,True,420,16.9.772.8292,1016,2026-06-07T21:17:16+00:00,-5919,-7,-1,-1,0,-126,-1.0,-1,-1,-10,0
KR_8213606983,200,v1_15min_16_9_only,False,420,16.9.772.8292,1016,2026-06-07T21:17:16+00:00,5919,7,1,1,0,126,1.0,1,1,10,0
KR_8213579303,100,v1_15min_16_9_only,True,420,16.9.772.8292,988,2026-06-07T21:17:16+00:00,-7860,-9,-3,-1,0,-100,-1.6,1,-1,1,-2
KR_8213579303,200,v1_15min_16_9_only,False,420,16.9.772.8292,988,2026-06-07T21:17:16+00:00,7860,9,3,1,0,100,1.6,-1,1,-1,2
